date,time,provider,model,model_family,input_tokens,output_tokens,cached_tokens,total_tokens,cost_usd,request_id,org_slug,environment,status,latency_ms
2025-12-26,05:06:24,openai,gpt-4o-mini,gpt-4o,150,75,0,225,6.75e-05,,acme,dev,success,300
2025-12-26,05:06:24,openai,gpt-4o,gpt-4o,200,100,0,300,0.0015,,acme,dev,success,300
2025-12-26,05:06:24,anthropic,claude-3-5-sonnet-20241022,claude-3.5,180,90,0,270,0.00189,,acme,dev,success,300
2025-12-26,05:06:24,anthropic,claude-3-haiku-20240307,claude-3,250,120,0,370,0.0002125,,acme,dev,success,300
2025-12-26,05:06:24,gemini,gemini-2.5-flash,gemini-2.5,300,150,0,450,0.000135,,acme,dev,success,300
2025-12-26,05:06:24,gemini,gemini-1.5-pro,gemini-1.5,220,110,0,330,0.000825,,acme,dev,success,300
2025-12-26,05:06:24,azure_openai,gpt-4o,gpt-4o,170,85,0,255,0.001275,,acme,dev,success,300
2025-12-26,05:06:24,azure_openai,gpt-4o-mini,gpt-4o,400,200,0,600,0.00018,,acme,dev,success,300
2025-12-26,05:07:30,openai,gpt-4o-mini-2024-07-18,gpt-4o,38,15,0,53,1.47e-05,chatcmpl-CquKwHJ3aPhNzRTHJXJUUzcbrRKM3,acme,dev,success,2088
2025-12-26,05:07:31,anthropic,claude-3-haiku-20240307,claude-3,39,35,0,74,5.35e-05,msg_01MDetUz19WJbY9YoR8o1mEv,acme,dev,success,654
2025-12-26,05:07:33,azure_openai,gpt-4o,gpt-4o,38,15,0,53,0.000245,chatcmpl-CquKy8x1HSkAtcY3IIkw6p0hJH1He,acme,prod,success,1482
2025-12-26,05:08:03,openai,gpt-4o-mini-2024-07-18,gpt-4o,38,18,0,56,1.65e-05,chatcmpl-CquLSnxkV6l2Z4p8xOGHTKJeybbHD,acme,dev,success,1696
2025-12-26,05:08:03,anthropic,claude-3-haiku-20240307,claude-3,39,35,0,74,5.35e-05,msg_019RLBZFNAt5gQy5MoUnKePn,acme,dev,success,810
2025-12-26,05:08:04,azure_openai,gpt-4o,gpt-4o,38,15,0,53,0.000245,chatcmpl-CquLUuv2wfI6JV3KlB4U7qcguOBZh,acme,prod,success,679
